GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetProfile,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,AlreadyRevokedException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RevokeBackDateNotAllowedForProfileException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CaRenewCertRequest,49,0,2,0,19,0,13,0,12,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,WaitingForApprovalException,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RemoveSubjectFromRoleResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,WaitingForApprovalException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CustomLogResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,ExtendedInformationWS,26,0,0,0,11,0,6,0,6,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,DateNotValidException,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,IsAuthorizedResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CrmfRequest,38,0,0,0,16,0,11,0,11,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RevokeCert,24,0,0,0,10,0,7,0,7,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetLastCertChainResponse,14,0,2,0,4,0,3,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RolloverCACert,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetCertificatesByExpirationTimeResponse,14,0,2,0,4,0,3,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RolloverCACertResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CustomLog,45,0,0,0,19,0,13,0,13,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,AuthorizationDeniedException,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetAvailableCAs,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GenTokenCertificatesResponse,14,0,2,0,4,0,3,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,ExistsHardTokenResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetPublisherQueueLength,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CaCertResponseResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,FetchUserData,21,0,2,0,7,0,5,0,4,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetCertificateResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CrmfRequestResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,Pkcs10Request,38,0,0,0,16,0,11,0,11,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,IllegalQueryException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,PublisherException,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RevokeUser,24,0,0,0,10,0,7,0,7,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CAOfflineException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetHardTokenData,24,0,0,0,10,0,7,0,7,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CADoesntExistsException,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,ApprovalException,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RevokeCertBackdated,31,0,0,0,13,0,9,0,9,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,TokenCertificateResponseWS,51,0,0,0,20,0,9,0,9,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RevokeUserResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,NameAndId,32,0,0,0,14,0,6,0,6,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,UserDoesntFullfillEndEntityProfile,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,UserDataSourceVOWS,54,0,2,0,16,0,7,0,6,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetLastCAChainResponse,14,0,2,0,4,0,3,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,HardTokenExistsException,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CaCertResponseForRolloverResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CesecoreException,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RevokeCertWithMetadata,28,0,2,0,10,0,7,0,6,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetCertificatesByExpirationTime,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RevokeToken,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RevokeCertResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,HardTokenDoesntExistsException,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,IsApproved,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,SpkacRequestResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CheckRevokationStatus,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,EjbcaException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CertificateExpiredException_Exception,18,0,0,0,7,0,3,0,3,0
